Beds,State,County,Location
335,Illinois,Adams,"Adams, Illinois"
50,Texas,Wood,"Wood, Texas"
50,Texas,Lavaca,"Lavaca, Texas"
50,Texas,Hutchinson,"Hutchinson, Texas"
25,Kentucky,Russell,"Russell, Kentucky"
473,West Virginia,Raleigh,"Raleigh, West Virginia"
26,Kentucky,Rockcastle,"Rockcastle, Kentucky"
763,West Virginia,Kanawha,"Kanawha, West Virginia"
72,Kentucky,Johnson,"Johnson, Kentucky"
25,West Virginia,Jefferson,"Jefferson, West Virginia"
94,West Virginia,Fayette,"Fayette, West Virginia"
42,West Virginia,Calhoun,"Calhoun, West Virginia"
940,West Virginia,Monongalia,"Monongalia, West Virginia"
122,Maryland,Cecil,"Cecil, Maryland"
419,West Virginia,Mercer,"Mercer, West Virginia"
